label	tier	weight	pattern	syntax
innovation	corporate	1.0	innovat(?:e|es|ed|ing|ion|ions|ive)	regex
disruptive	corporate	1.0	disrupt(?:ive|ion|ing)?	regex
agile	corporate	1.0	agil(?:e|ity)	regex
nimble	corporate	1.0	nimble	regex
resilience	corporate	1.0	resilien(?:t|ce)	regex
future-proof	corporate	1.0	future[- ]proof(?:ed|ing)?	regex
fit for the future	corporate	1.0	fit for the future	regex
next-generation	corporate	1.0	next[- ]generation|next[- ]gen	regex
capacity building	corporate	1.0	capacity building	regex
buy-in	corporate	1.0	buy[- ]in	regex
alignment	corporate	1.0	alignment	regex
learnings	corporate	1.0	learnings	regex
key takeaway	corporate	1.0	key takeaways?	regex
laser-focused	corporate	1.0	laser[- ]focused	regex
double down	corporate	1.0	double down	regex
lean in	corporate	1.0	lean(?:ing)? in	regex
holistic approach	corporate	1.0	holistic approach	regex
strategic priority	corporate	1.0	strategic priorit(?:y|ies)	regex
core competency	corporate	1.0	core competenc(?:y|ies)	regex
value-add	corporate	1.0	value[- ]add(?:ed|ing)?	regex
synchronise	corporate	1.0	synchroni(?:s|z)(?:e|ed|ing)	regex
paradigm	corporate	1.0	paradigm	regex
ideation	corporate	1.0	ideat(?:e|ion)	regex
bandwidth	corporate	1.0	bandwidth	regex
turnkey	corporate	1.0	turnkey	regex
drive progress	corporate	1.0	drive (?:progress|impact|change|adoption|results|efficiency)	regex
unlock potential	corporate	1.0	unlock(?:ing)? (?:value|potential|opportunit(?:y|ies))	regex
world of work	corporate	1.0	world of work	regex
human capital	corporate	1.0	human capital	regex
talent pipeline	corporate	1.0	talent pipeline	regex
culture of X	corporate	1.0	culture of (?:safety|innovation|inclusion|excellence|caring|ownership)	regex
sustainable	esg_jargon	1.0	sustainab(?:le|ility|ly)	regex
ESG	esg_jargon	1.0	ESG	regex
net zero	esg_jargon	1.0	net[- ]zero	regex
carbon neutral	esg_jargon	1.0	carbon[- ]neutral(?:ity)?	regex
climate neutral	esg_jargon	1.0	climate[- ]neutral(?:ity)?	regex
decarbonisation	esg_jargon	1.0	decarboni(?:s|z)(?:e|ed|ing|ation)	regex
carbon footprint	esg_jargon	1.0	carbon footprint	regex
circular economy	esg_jargon	1.0	circular economy|circularity	regex
closed loop	esg_jargon	1.0	closed[- ]loop	regex
regenerative	esg_jargon	1.0	regenerative	regex
nature-positive	esg_jargon	1.0	nature[- ]positive	regex
climate-positive	esg_jargon	1.0	climate[- ]positive	regex
carbon-negative	esg_jargon	1.0	carbon[- ]negative	regex
net positive	esg_jargon	1.0	net[- ]positive	regex
eco-friendly	esg_jargon	1.0	eco[- ]friendly|environmentally friendly	regex
green X	esg_jargon	1.0	green(?:er)? (?:future|growth|transition|economy|solutions?|products?|energy)	regex
stewardship	esg_jargon	1.0	environmental stewardship|stewardship	regex
responsible sourcing	esg_jargon	1.0	responsible (?:sourcing|business|growth|investment|supply)	regex
corporate citizenship	esg_jargon	1.0	corporate (?:citizenship|responsibility)	regex
licence to operate	esg_jargon	1.0	(?:social )?licen[cs]e to operate	regex
materiality	esg_jargon	1.0	(?:double )?materiality	regex
material topics	esg_jargon	1.0	material topics	regex
stakeholder capitalism	esg_jargon	1.0	stakeholder capitalism	regex
shared value	esg_jargon	1.0	shared value	regex
positive impact	esg_jargon	1.0	positive impact	regex
impact	esg_jargon	1.0	impact(?:ful)?	regex
handprint	esg_jargon	1.0	handprint	regex
climate action	esg_jargon	1.0	climate action	regex
climate ambition	esg_jargon	1.0	climate (?:ambition|leadership)	regex
energy transition	esg_jargon	1.0	energy transition	regex
just transition	esg_jargon	1.0	just transition	regex
low-carbon future	esg_jargon	1.0	low[- ]carbon (?:future|economy|transition)	regex
clean energy future	esg_jargon	1.0	clean energy future	regex
science-based	esg_jargon	1.0	science[- ]based	regex
Paris-aligned	esg_jargon	1.0	Paris[- ]aligned|Paris Agreement	regex
nature-based solutions	esg_jargon	1.0	nature[- ]based solutions?	regex
biodiversity	esg_jargon	1.0	biodiversity	regex
ecosystem services	esg_jargon	1.0	ecosystem services	regex
planetary boundaries	esg_jargon	1.0	planetary boundaries	regex
carbon offsets	esg_jargon	1.0	carbon (?:credits?|offsets?)|offsetting	regex
DEI	esg_jargon	1.0	DE&?I|diversity,? equity,? and inclusion	regex
inclusion	esg_jargon	1.0	inclusi(?:ve|on|vity)	regex
belonging	esg_jargon	1.0	belonging	regex
wellbeing	esg_jargon	1.0	(?:well[- ]being|wellbeing)	regex
thrive	esg_jargon	1.0	thriv(?:e|es|ing)	regex
safety culture	esg_jargon	1.0	safety culture	regex
purpose	esg_jargon	1.0	(?<!for )(?<!for the )purposes?(?! of)	regex
transparency	esg_jargon	1.0	transparency|transparent	regex
accountability	esg_jargon	1.0	accountab(?:le|ility)	regex
integrity	esg_jargon	1.0	integrity	regex
ethics	esg_jargon	1.0	ethical(?:ly)?|ethics	regex
good governance	esg_jargon	1.0	good governance	regex
community investment	esg_jargon	1.0	community investment	regex
giving back	esg_jargon	1.0	giving back	regex
social impact	esg_jargon	1.0	social impact	regex
greenwashing	esg_jargon	1.0	green(?:washing)?wash(?:ing)?	regex
ambitious target	esg_jargon	1.0	ambitious (?:target|goal|commitment|plan)	regex
bold target	esg_jargon	1.0	bold (?:target|goal|commitment|ambition)	regex
leadership position	esg_jargon	1.0	leadership position	regex
raise ambition	esg_jargon	1.0	raise ambition	regex
climate-smart	esg_jargon	1.0	climate[- ]smart	regex
sustainable X	esg_jargon	1.0	sustainable (?:future|growth|value|development|solutions?|practices?)	regex
ESG strategy	esg_jargon	1.0	ESG (?:journey|strategy|performance|leadership)	regex
reduce our footprint	esg_jargon	1.0	reduce our footprint|reducing our footprint	regex
environmental footprint	esg_jargon	1.0	environmental footprint	regex
eco-conscious	esg_jargon	1.0	eco[- ]conscious	regex
responsible steward	esg_jargon	1.0	responsible steward(?:s|ship)?	regex
